Season,Team,Conference,Season record,Conf. Seed,NBA Seed,Last 20 Games record,ORtg Rank,DRtg Rank,2 seasons ago result,Last season result,Playoff Outcome
2022-2023,Memphis Grizzlies,West,0.622,2,6,0.65,15,2,First Round,Conference Semi-Final,First Round
2022-2023,Sacramento Kings,West,0.585,3,7,0.55,1,24,No Playoff,No Playoff,First Round
2022-2023,Phoenix Suns,West,0.549,4,10,0.6,14,7,NBA Final,Conference Semi-Final,Conference Semi-Final
2022-2023,Los Angeles Clippers,West,0.537,5,11,0.55,17,18,Conference Final,No Playoff,First Round
2022-2023,Golden State Warriors,West,0.537,6,12,0.6,9,17,No Playoff,NBA Champion,Conference Semi-Final
2022-2023,Los Angeles Lakers,West,0.524,7,14,0.75,20,11,First Round,No Playoff,Conference Final
2022-2023,Minnesota Timberwolves,West,0.512,8,15,0.6,24,9,No Playoff,First Round,First Round
2022-2023,New Orlean Pelicans,West,0.512,9,16,0.6,21,6,No Playoff,First Round,No Playoff
2022-2023,Oklahoma City Thunder,West,0.488,10,20,0.6,16,13,No Playoff,No Playoff,No Playoff
2021-2022,Miami Heat,Est,0.646,1,4,0.6,10,5,NBA Final,First Round,Conference Final
2021-2022,Boston Celtics,Est,0.622,2,6,0.75,6,2,Conference Final,First Round,NBA Final
2021-2022,Milwaukee Bucks,Est,0.622,3,7,0.7,3,13,Conference Semi-Final,NBA Champion,Conference Semi-Final
2021-2022,Philadelphia Sixers,Est,0.622,4,8,0.6,12,12,First Round,Conference Semi-Final,Conference Semi-Final
2021-2022,Toronto Raptors,Est,0.585,5,11,0.7,14,11,Conference Semi-Final,No Playoff,First Round
2021-2022,Chicago Bulls,Est,0.561,6,12,0.35,13,23,No Playoff,No Playoff,First Round
2021-2022,Brooklyn Nets,Est,0.537,7,14,0.6,11,20,First Round,Conference Semi-Final,First Round
2021-2022,Atlanta Hawks,Est,0.524,9,16,0.65,2,26,No Playoff,Conference Final,First Round
2021-2022,Phoenix Suns,West,0.78,1,1,0.7,4,3,No Playoff,NBA Final,Conference Semi-Final
2021-2022,Memphis Grizzlies,West,0.683,2,2,0.7,5,4,No Playoff,First Round,Conference Semi-Final
2021-2022,Golden State Warriors,West,0.646,3,3,0.5,17,1,No Playoff,No Playoff,NBA Champion
2021-2022,Dallas Mavericks,West,0.634,4,5,0.75,15,6,First Round,First Round,Conference Final
2021-2022,Utah Jazz,West,0.598,5,9,0.5,1,9,First Round,Conference Semi-Final,First Round
2021-2022,Denver Nuggets,West,0.585,6,10,0.6,7,15,Conference Final,Conference Semi-Final,First Round
2021-2022,Minnesota Timberwolves,West,0.561,7,13,0.65,8,14,No Playoff,No Playoff,First Round
2021-2022,New Orlean Pelicans,West,0.439,9,20,0.5,20,19,No Playoff,No Playoff,First Round
2020-2021,Philadelphia Sixers,Est,0.681,1,3,0.7,13,2,Conference Semi-Final,First Round,Conference Semi-Final
2020-2021,Brooklyn Nets,Est,0.667,2,4,0.6,1,22,First Round,First Round,Conference Semi-Final
2020-2021,Milwaukee Bucks,Est,0.639,3,7,0.7,7,8,Conference Final,Conference Semi-Final,NBA Champion
2020-2021,New York Knicks,Est,0.569,4,11,0.8,23,4,No Playoff,No Playoff,First Round
2020-2021,Atlanta Hawks,Est,0.569,5,12,0.7,8,21,No Playoff,No Playoff,Conference Final
2020-2021,Miami Heat,Est,0.556,6,13,0.65,17,7,No Playoff,NBA Final,First Round
2020-2021,Boston Celtics,Est,0.5,7,16,0.5,10,14,Conference Semi-Final,Conference Final,First Round
2020-2021,Washington Wizards,Est,0.472,8,17,0.75,19,18,No Playoff,No Playoff,First Round
2020-2021,Utah Jazz,West,0.722,1,1,0.65,2,3,First Round,First Round,Conference Semi-Final
2020-2021,Phoenix Suns,West,0.708,2,2,0.7,6,10,No Playoff,No Playoff,NBA Final
2020-2021,Denver Nuggets,West,0.653,3,5,0.65,5,13,Conference Semi-Final,Conference Final,Conference Semi-Final
2020-2021,Los Angeles Clippers,West,0.653,4,6,0.65,3,9,First Round,Conference Semi-Final,Conference Final
2020-2021,Dallas Mavericks,West,0.583,5,8,0.65,9,20,No Playoff,First Round,First Round
2020-2021,Portland Blazers,West,0.583,6,9,0.55,4,29,Conference Final,First Round,First Round
2020-2021,Los Angeles Lakers,West,0.583,7,10,0.5,24,1,No Playoff,NBA Champion,First Round
2020-2021,Memphis Grizzlies,West,0.528,9,15,0.65,16,6,No Playoff,No Playoff,First Round
2019-2020,Milwaukee Bucks,Est,0.767,1,1,0.5,9,1,First Round,Conference Final,Conference Semi-Final
2019-2020,Toronto Raptors,Est,0.737,2,2,0.7,14,2,Conference Semi-Final,NBA Champion,Conference Semi-Final
2019-2020,Boston Celtics,Est,0.667,3,5,0.55,4,4,Conference Final,Conference Semi-Final,Conference Final
2019-2020,Indiana Pacers,Est,0.616,4,7,0.7,19,6,First Round,First Round,First Round
2019-2020,Miami Heat,Est,0.603,5,9,0.45,7,11,First Round,No Playoff,NBA Final
2019-2020,Philadelphia Sixers,Est,0.589,6,13,0.55,13,8,Conference Semi-Final,Conference Semi-Final,First Round
2019-2020,Brooklyn Nets,Est,0.486,7,14,0.55,22,9,No Playoff,First Round,First Round
2019-2020,Orlando Magic,Est,0.452,8,18,0.55,23,10,No Playoff,First Round,First Round
2019-2020,Los Angeles Lakers,West,0.732,1,3,0.65,11,3,No Playoff,No Playoff,NBA Champion
2019-2020,Los Angeles Clippers,West,0.681,2,4,0.65,2,5,No Playoff,First Round,Conference Semi-Final
2019-2020,Denver Nuggets,West,0.63,3,6,0.45,5,16,No Playoff,Conference Semi-Final,Conference Final
2019-2020,Houston Rockets,West,0.611,4,8,0.55,6,14,Conference Final,Conference Semi-Final,Conference Semi-Final
2019-2020,Oklahoma City Thunder,West,0.611,5,10,0.6,15,7,First Round,First Round,First Round
2019-2020,Utah Jazz,West,0.611,6,11,0.5,8,12,Conference Semi-Final,First Round,First Round
2019-2020,Dallas Mavericks,West,0.573,7,12,0.6,1,18,No Playoff,No Playoff,First Round
2019-2020,Portland Blazers,West,0.473,8,15,0.45,3,27,First Round,Conference Final,First Round
2018-2019,Milwaukee Bucks,Est,0.732,1,1,0.6,4,1,First Round,First Round,Conference Final
2018-2019,Toronto Raptors,Est,0.707,2,2,0.65,5,5,Conference Semi-Final,Conference Semi-Final,NBA Champion
2018-2019,Philadelphia Sixers,Est,0.622,3,7,0.55,8,15,No Playoff,Conference Semi-Final,Conference Semi-Final
2018-2019,Boston Celtics,Est,0.598,4,9,0.6,10,7,Conference Final,Conference Final,Conference Semi-Final
2018-2019,Indiana Pacers,Est,0.585,5,11,0.4,18,3,First Round,First Round,First Round
2018-2019,Orlando Magic,Est,0.512,6,14,0.7,22,8,No Playoff,No Playoff,First Round
2018-2019,Brooklyn Nets,Est,0.512,7,15,0.5,19,14,No Playoff,No Playoff,First Round
2018-2019,Detroit Pistons,Est,0.5,8,16,0.5,21,11,No Playoff,No Playoff,First Round
2018-2019,Golden State Warriors,West,0.695,1,3,0.7,1,13,NBA Champion,NBA Champion,NBA Final
2018-2019,Denver Nuggets,West,0.659,2,4,0.6,6,9,No Playoff,No Playoff,Conference Semi-Final
2018-2019,Portland Blazers,West,0.646,3,5,0.75,3,16,First Round,First Round,Conference Final
2018-2019,Houston Rockets,West,0.646,4,6,0.8,2,18,Conference Semi-Final,Conference Final,Conference Semi-Final
2018-2019,Utah Jazz,West,0.61,5,8,0.7,15,2,Conference Semi-Final,Conference Semi-Final,First Round
2018-2019,Oklahoma City Thunder,West,0.598,6,10,0.55,17,4,First Round,First Round,First Round
2018-2019,San Antonio Spurs,West,0.585,7,12,0.75,7,19,Conference Final,First Round,First Round
2018-2019,Los Angeles Clippers,West,0.585,8,13,0.7,9,21,First Round,No Playoff,First Round
2017-2018,Toronto Raptors,Est,0.72,1,2,0.7,2,5,Conference Final,Conference Semi-Final,Conference Semi-Final
2017-2018,Boston Celtics,Est,0.671,2,4,0.6,18,2,First Round,Conference Final,Conference Final
2017-2018,Philadelphia Sixers,Est,0.634,3,5,0.9,11,4,No Playoff,No Playoff,Conference Semi-Final
2017-2018,Cleveland Cavaliers,Est,0.61,4,6,0.7,5,29,NBA Champion,NBA Final,NBA Final
2017-2018,Indiana Pacers,Est,0.585,5,8,0.65,12,13,First Round,First Round,First Round
2017-2018,Miami Heat,Est,0.537,6,15,0.6,22,8,Conference Semi-Final,No Playoff,First Round
2017-2018,Milwaukee Bucks,Est,0.537,7,16,0.55,9,19,No Playoff,First Round,First Round
2017-2018,Washington Wizards,Est,0.524,8,17,0.35,13,15,No Playoff,Conference Semi-Final,First Round
2017-2018,Houston Rockets,West,0.793,1,1,0.8,1,6,First Round,Conference Semi-Final,Conference Final
2017-2018,Golden State Warriors,West,0.707,2,3,0.5,3,11,NBA Final,NBA Champion,NBA Champion
2017-2018,Portland Blazers,West,0.598,3,7,0.65,15,7,Conference Semi-Final,First Round,First Round
2017-2018,Oklahoma City Thunder,West,0.585,4,9,0.65,7,9,Conference Final,First Round,First Round
2017-2018,Utah Jazz,West,0.585,5,10,0.8,16,1,No Playoff,Conference Semi-Final,Conference Semi-Final
2017-2018,New Orlean Pelicans,West,0.585,6,11,0.6,10,14,No Playoff,No Playoff,Conference Semi-Final
2017-2018,San Antonio Spurs,West,0.573,7,12,0.55,17,3,Conference Semi-Final,Conference Final,First Round
2017-2018,Minnesota Timberwolves,West,0.573,8,13,0.55,4,27,No Playoff,No Playoff,First Round
2016-2017,Boston Celtics,Est,0.646,1,4,0.65,8,13,First Round,First Round,Conference Final
2016-2017,Cleveland Cavaliers,Est,0.622,2,5,0.45,3,21,NBA Final,NBA Champion,NBA Final
2016-2017,Toronto Raptors,Est,0.622,3,7,0.7,6,11,First Round,Conference Final,Conference Semi-Final
2016-2017,Washington Wizards,Est,0.598,4,9,0.55,7,19,Conference Semi-Final,No Playoff,Conference Semi-Final
2016-2017,Atlanta Hawks,Est,0.524,5,11,0.45,27,4,Conference Final,Conference Semi-Final,First Round
2016-2017,Milwaukee Bucks,Est,0.512,6,13,0.65,13,20,First Round,No Playoff,First Round
2016-2017,Indiana Pacers,Est,0.512,7,14,0.5,15,16,No Playoff,First Round,First Round
2016-2017,Chicago Bulls,Est,0.5,8,15,0.5,20,6,Conference Semi-Final,No Playoff,First Round
2016-2017,Golden State Warriors,West,0.817,1,1,0.8,1,2,NBA Champion,NBA Final,NBA Champion
2016-2017,San Antonio Spurs,West,0.744,2,2,0.6,9,1,First Round,Conference Semi-Final,Conference Final
2016-2017,Houston Rockets,West,0.671,3,3,0.6,2,18,Conference Final,First Round,Conference Semi-Final
2016-2017,Los Angeles Clippers,West,0.622,4,6,0.7,2,18,Conference Semi-Final,First Round,First Round
2016-2017,Utah Jazz,West,0.622,5,8,0.65,12,3,No Playoff,No Playoff,Conference Semi-Final
2016-2017,Oklahoma City Thunder,West,0.573,6,10,0.6,16,10,No Playoff,Conference Final,First Round
2016-2017,Memphis Grizzlies,West,0.524,7,12,0.35,18,7,Conference Semi-Final,First Round,First Round
2016-2017,Portland Blazers,West,0.5,8,16,0.7,11,24,First Round,Conference Semi-Final,First Round
2015-2016,Cleveland Cavaliers,Est,0.695,1,3,0.65,3,9,No Playoff,NBA Final,NBA Champion
2015-2016,Toronto Raptors,Est,0.683,2,4,0.7,4,11,First Round,First Round,Conference Final
2015-2016,Miami Heat,Est,0.585,3,7,0.6,13,10,NBA Final,No Playoff,Conference Semi-Final
2015-2016,Atlanta Hawks,Est,0.585,4,8,0.7,22,2,First Round,Conference Final,Conference Semi-Final
2015-2016,Boston Celtics,Est,0.585,5,9,0.55,10,4,No Playoff,First Round,First Round
2015-2016,Charlotte Hornets,Est,0.585,6,10,0.7,9,8,First Round,No Playoff,First Round
2015-2016,Indiana Pacers,Est,0.549,7,11,0.65,25,3,Conference Final,No Playoff,First Round
2015-2016,Detroit Pistons,Est,0.537,8,12,0.65,15,12,No Playoff,No Playoff,First Round
2015-2016,Golden State Warriors,West,0.89,1,1,0.85,1,5,First Round,NBA Champion,NBA Final
2015-2016,San Antonio Spurs,West,0.817,2,2,0.7,5,1,NBA Champion,First Round,Conference Semi-Final
2015-2016,Oklahoma City Thunder,West,0.671,3,5,0.65,2,13,Conference Final,No Playoff,Conference Final
2015-2016,Los Angeles Clippers,West,0.646,4,6,0.6,8,6,First Round,Conference Semi-Final,Conference Semi-Final
2015-2016,Portland Blazers,West,0.537,5,13,0.55,6,19,Conference Semi-Final,First Round,Conference Semi-Final
2015-2016,Dallas Mavericks,West,0.512,6,14,0.45,11,17,First Round,First Round,First Round
2015-2016,Memphis Grizzlies,West,0.512,7,15,0.25,17,20,First Round,Conference Semi-Final,First Round
2015-2016,Houston Rockets,West,0.5,8,17,0.55,7,22,First Round,Conference Final,First Round
2014-2015,Atlanta Hawks,Est,0.732,1,2,0.55,6,6,First Round,First Round,Conference Final
2014-2015,Cleveland Cavaliers,Est,0.646,2,7,0.75,4,18,No Playoff,No Playoff,NBA Final
2014-2015,Chicago Bulls,Est,0.61,3,10,0.55,10,11,Conference Semi-Final,First Round,Conference Semi-Final
2014-2015,Toronto Raptors,Est,0.598,4,11,0.55,3,26,No Playoff,First Round,First Round
2014-2015,Washington Wizards,Est,0.561,5,12,0.55,22,5,No Playoff,Conference Semi-Final,Conference Semi-Final
2014-2015,Milwaukee Bucks,Est,0.5,6,15,0.4,26,4,First Round,No Playoff,First Round
2014-2015,Boston Celtics,Est,0.488,7,16,0.7,18,12,First Round,No Playoff,First Round
2014-2015,Brooklyn Nets,Est,0.463,8,20,0.65,19,23,First Round,Conference Semi-Final,First Round
2014-2015,Golden State Warriors,West,0.817,1,1,0.85,2,1,Conference Semi-Final,First Round,NBA Champion
2014-2015,Houston Rockets,West,0.683,2,3,0.7,12,8,First Round,First Round,Conference Final
2014-2015,Los Angeles Clippers,West,0.683,3,4,0.8,1,16,First Round,Conference Semi-Final,Conference Semi-Final
2014-2015,Portland Blazers,West,0.622,4,8,0.45,9,9,No Playoff,Conference Semi-Final,First Round
2014-2015,Memphis Grizzlies,West,0.671,5,5,0.55,13,3,Conference Final,First Round,Conference Semi-Final
2014-2015,San Antonio Spurs,West,0.671,6,6,0.8,7,2,NBA Final,NBA Champion,First Round
2014-2015,Dallas Mavericks,West,0.61,7,9,0.5,5,19,No Playoff,First Round,First Round
2014-2015,New Orlean Pelicans,West,0.549,8,13,0.6,8,22,No Playoff,No Playoff,First Round
2013-2014,Indiana Pacers,Est,0.683,1,4,0.5,23,1,Conference Semi-Final,Conference Final,Conference Final
2013-2014,Miami Heat,Est,0.659,2,6,0.5,2,12,NBA Champion,NBA Champion,NBA Final
2013-2014,Toronto Raptors,Est,0.585,3,12,0.65,9,10,No Playoff,No Playoff,First Round
2013-2014,Chicago Bulls,Est,0.585,4,13,0.7,28,2,First Round,Conference Semi-Final,First Round
2013-2014,Washington Wizards,Est,0.537,5,14,0.55,16,7,No Playoff,No Playoff,Conference Semi-Final
2013-2014,Brooklyn Nets,Est,0.537,6,15,0.6,14,20,No Playoff,First Round,Conference Semi-Final
2013-2014,Charlotte Bobcats,Est,0.524,7,16,0.7,24,6,No Playoff,No Playoff,First Round
2013-2014,Atlanta Hawks,Est,0.463,8,18,0.55,17,14,First Round,First Round,First Round
2013-2014,San Antonio Spurs,West,0.756,1,1,0.8,7,3,Conference Final,NBA Final,NBA Champion
2013-2014,Oklahoma City Thunder,West,0.72,2,2,0.65,6,5,NBA Final,Conference Semi-Final,Conference Final
2013-2014,Los Angeles Clippers,West,0.695,3,3,0.75,1,9,Conference Semi-Final,First Round,Conference Semi-Final
2013-2014,Houston Rockets,West,0.659,4,5,0.55,5,13,No Playoff,First Round,First Round
2013-2014,Portland Blazers,West,0.659,5,7,0.6,3,16,No Playoff,No Playoff,Conference Semi-Final
2013-2014,Golden State Warriors,West,0.622,6,8,0.65,12,4,No Playoff,Conference Semi-Final,First Round
2013-2014,Memphis Grizzlies,West,0.61,7,9,0.7,15,8,First Round,Conference Final,First Round
2013-2014,Dallas Mavericks,West,0.598,8,10,0.65,4,22,First Round,No Playoff,First Round
2012-2013,Miami Heat,Est,0.805,1,1,0.9,1,9,NBA Final,NBA Champion,NBA Champion
2012-2013,New York Knicks,Est,0.659,2,7,0.8,3,17,First Round,First Round,Conference Semi-Final
2012-2013,Indiana Pacers,Est,0.605,3,8,0.5,20,1,First Round,Conference Semi-Final,Conference Final
2012-2013,Brooklyn Nets,Est,0.598,4,9,0.65,8,19,No Playoff,No Playoff,First Round
2012-2013,Chicago Bulls,Est,0.549,5,13,0.5,23,6,Conference Final,First Round,Conference Semi-Final
2012-2013,Atlanta Hawks,Est,0.537,6,14,0.5,18,10,Conference Semi-Final,First Round,First Round
2012-2013,Boston Celtics,Est,0.506,7,16,0.35,24,7,Conference Semi-Final,Conference Final,First Round
2012-2013,Milwaukee Bucks,Est,0.463,8,18,0.3,22,12,No Playoff,No Playoff,First Round
2012-2013,Oklahoma City Thunder,West,0.732,1,2,0.7,2,4,Conference Final,NBA Final,Conference Semi-Final
2012-2013,San Antonio Spurs,West,0.707,2,3,0.5,7,3,First Round,Conference Final,NBA Final
2012-2013,Denver Nuggets,West,0.695,3,4,0.85,5,11,First Round,First Round,First Round
2012-2013,Los Angeles Clippers,West,0.683,4,5,0.65,4,8,No Playoff,Conference Semi-Final,First Round
2012-2013,Memphis Grizzlies,West,0.683,5,6,0.65,17,2,Conference Semi-Final,First Round,Conference Final
2012-2013,Golden State Warriors,West,0.573,6,10,0.6,11,13,No Playoff,No Playoff,Conference Semi-Final
2012-2013,Los Angeles Lakers,West,0.549,7,11,0.7,9,20,Conference Semi-Final,Conference Semi-Final,First Round
2012-2013,Houston Rockets,West,0.549,8,12,0.6,6,16,No Playoff,No Playoff,First Round
2011-2012,Chicago Bulls,Est,0.758,1,1,0.7,5,1,First Round,Conference Final,First Round
2011-2012,Miami Heat,Est,0.697,2,4,0.55,6,4,First Round,NBA Final,NBA Champion
2011-2012,Indiana Pacers,Est,0.636,3,5,0.75,7,11,No Playoff,First Round,Conference Semi-Final
2011-2012,Boston Celtics,Est,0.591,4,10,0.7,25,2,NBA Final,Conference Semi-Final,Conference Final
2011-2012,Atlanta Hawks,Est,0.606,5,9,0.7,15,6,Conference Semi-Final,Conference Semi-Final,First Round
2011-2012,Orlando Magic,Est,0.561,6,12,0.4,16,12,Conference Final,First Round,First Round
2011-2012,New York Knicks,Est,0.545,7,13,0.7,17,5,No Playoff,First Round,First Round
2011-2012,Philadelphia Sixers,Est,0.53,8,16,0.45,20,3,No Playoff,First Round,Conference Semi-Final
2011-2012,San Antonio Spurs,West,0.758,1,2,0.9,1,10,Conference Semi-Final,First Round,Conference Final
2011-2012,Oklahoma City Thunder,West,0.712,2,3,0.65,2,9,First Round,Conference Final,NBA Final
2011-2012,Los Angeles Lakers,West,0.621,3,7,0.65,10,13,NBA Champion,Conference Semi-Final,Conference Semi-Final
2011-2012,Memphis Grizzlies,West,0.621,4,6,0.8,19,7,No Playoff,Conference Semi-Final,First Round
2011-2012,Los Angeles Clippers,West,0.606,5,8,0.7,4,18,No Playoff,No Playoff,Conference Semi-Final
2011-2012,Denver Nuggets,West,0.576,6,11,0.65,3,20,First Round,First Round,First Round
2011-2012,Dallas Mavericks,West,0.545,7,14,0.5,22,8,First Round,NBA Champion,First Round
2011-2012,Utah Jazz,West,0.545,8,15,0.6,8,19,Conference Semi-Final,No Playoff,First Round
2010-2011,Chicago Bulls,Est,0.756,1,1,0.9,11,1,First Round,First Round,Conference Final
2010-2011,Miami Heat,Est,0.707,2,3,0.75,2,5,First Round,First Round,NBA Final
2010-2011,Boston Celtics,Est,0.683,3,6,0.5,18,2,Conference Semi-Final,NBA Final,Conference Semi-Final
2010-2011,Orlando Magic,Est,0.634,4,8,0.6,14,3,NBA Final,Conference Final,First Round
2010-2011,Atlanta Hawks,Est,0.537,5,13,0.35,20,14,Conference Semi-Final,Conference Semi-Final,Conference Semi-Final
2010-2011,New York Knicks,Est,0.512,6,15,0.45,6,21,No Playoff,No Playoff,First Round
2010-2011,Philadelphia Sixers,Est,0.5,7,16,0.45,17,9,First Round,No Playoff,First Round
2010-2011,Indiana Pacers,Est,0.451,8,19,0.5,23,12,No Playoff,No Playoff,First Round
2010-2011,San Antonio Spurs,West,0.744,1,2,0.5,3,11,First Round,Conference Semi-Final,First Round
2010-2011,Los Angeles Lakers,West,0.695,2,4,0.7,7,6,NBA Champion,NBA Champion,Conference Semi-Final
2010-2011,Dallas Mavericks,West,0.695,3,5,0.6,8,7,Conference Semi-Final,First Round,NBA Champion
2010-2011,Oklahoma City Thunder,West,0.671,4,7,0.8,4,16,No Playoff,First Round,Conference Final
2010-2011,Denver Nuggets,West,0.61,5,9,0.7,1,15,Conference Final,First Round,First Round
2010-2011,Portland Blazers,West,0.585,6,10,0.65,10,13,First Round,First Round,First Round
2010-2011,New Orlean Hornets,West,0.561,7,11,0.55,19,10,First Round,No Playoff,First Round
2010-2011,Memphis Grizzlies,West,0.561,8,12,0.6,15,8,No Playoff,No Playoff,Conference Semi-Final
2009-2010,Cleveland Cavaliers,Est,0.744,1,1,0.65,4,7,Conference Semi-Final,Conference Final,Conference Semi-Final
2009-2010,Orlando Magic,Est,0.72,2,2,0.85,6,3,Conference Semi-Final,NBA Final,Conference Final
2009-2010,Atlanta Hawks,Est,0.646,3,7,0.65,2,13,First Round,Conference Semi-Final,Conference Semi-Final
2009-2010,Boston Celtics,Est,0.61,4,12,0.5,15,5,NBA Champion,Conference Semi-Final,NBA Final
2009-2010,Miami Heat,Est,0.573,5,13,0.8,19,6,No Playoff,First Round,First Round
2009-2010,Milwaukee Bucks,Est,0.561,6,14,0.65,23,1,No Playoff,No Playoff,First Round
2009-2010,Charlotte Bobcats,Est,0.537,7,15,0.65,24,2,No Playoff,No Playoff,First Round
2009-2010,Chicago Bulls,Est,0.5,8,17,0.5,27,11,No Playoff,First Round,First Round
2009-2010,Los Angeles Lakers,West,0.695,1,3,0.55,11,4,NBA Final,NBA Champion,NBA Champion
2009-2010,Dallas Mavericks,West,0.671,2,4,0.7,10,12,First Round,Conference Semi-Final,First Round
2009-2010,Phoenix Suns,West,0.659,3,5,0.8,1,22,First Round,No Playoff,Conference Final
2009-2010,Denver Nuggets,West,0.646,4,6,0.6,3,16,First Round,Conference Final,First Round
2009-2010,Utah Jazz,West,0.646,5,8,0.65,8,10,Conference Semi-Final,First Round,Conference Semi-Final
2009-2010,Portland Blazers,West,0.61,6,11,0.75,7,15,No Playoff,First Round,First Round
2009-2010,San Antonio Spurs,West,0.61,7,9,0.65,9,8,Conference Final,First Round,Conference Semi-Final
2009-2010,Oklahoma City Thunder,West,0.61,8,10,0.6,12,9,No Playoff,No Playoff,First Round
2008-2009,Cleveland Cavaliers,Est,0.805,1,1,0.85,4,3,NBA Final,Conference Semi-Final,Conference Final
2008-2009,Boston Celtics,Est,0.756,2,3,0.7,5,2,No Playoff,NBA Champion,Conference Semi-Final
2008-2009,Orlando Magic,Est,0.72,3,4,0.65,12,1,First Round,Conference Semi-Final,NBA Final
2008-2009,Atlanta Hawks,Est,0.573,4,12,0.65,9,12,No Playoff,First Round,Conference Semi-Final
2008-2009,Miami Heat,Est,0.524,5,14,0.5,20,11,First Round,No Playoff,First Round
2008-2009,Philadelphia Sixers,Est,0.5,6,15,0.5,17,16,No Playoff,First Round,First Round
2008-2009,Chicago Bulls,Est,0.5,7,16,0.65,13,18,Conference Semi-Final,No Playoff,First Round
2008-2009,Detroit Pistons,Est,0.476,8,17,0.35,21,15,Conference Final,Conference Final,First Round
2008-2009,Los Angeles Lakers,West,0.793,1,2,0.75,3,6,First Round,NBA Final,NBA Champion
2008-2009,Denver Nuggets,West,0.659,2,5,0.7,7,8,First Round,First Round,Conference Final
2008-2009,San Antonio Spurs,West,0.659,3,6,0.6,15,5,NBA Champion,Conference Final,First Round
2008-2009,Portland Blazers,West,0.659,4,7,0.75,1,14,No Playoff,No Playoff,First Round
2008-2009,Houston Rockets,West,0.646,5,8,0.7,14,4,First Round,First Round,Conference Semi-Final
2008-2009,Dallas Mavericks,West,0.61,6,9,0.65,6,17,First Round,First Round,Conference Semi-Final
2008-2009,New Orlean Hornets,West,0.598,7,10,0.5,11,10,No Playoff,Conference Semi-Final,First Round
2008-2009,Utah Jazz,West,0.585,8,11,0.45,8,9,Conference Final,Conference Semi-Final,First Round
